greV,greQ,greA,cgpa,univName,country,university_type,ranking,tuition_usd,ielts_min,toefl_min,duration_years,research_focused,internship_opportunities,post_study_work_visa,program_fields
150.0,166.0,3.0,4.0,Ohio State University,USA,Public,140,34968,6.5,79,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
157.0,151.0,5.5,3.57,Texas A&M University,USA,Public,134,30208,6.0,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
155.0,167.0,4.0,3.66,"University Of California, Irvine",USA,Public,235,43709,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,157.0,4.0,3.1,Boston University,USA,Private,108,58560,6.5,84,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
154.0,170.0,4.0,3.38,Oregon State University,USA,Public,364,30330,6.0,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
162.0,164.0,5.5,3.81,Stanford University,USA,Private,3,55473,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
166.0,170.0,5.0,4.0,McGill University,Canada,Public,30,21400,6.5,90,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,162.0,5.5,3.65,University Of Texas At Austin,USA,Public,58,36744,6.5,79,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,162.0,5.5,3.65,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,162.0,5.5,3.65,University Of Michigan,USA,Public,21,48698,6.5,85,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,162.0,5.5,3.65,University Of Virginia,USA,Public,115,51940,7.0,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,162.0,5.5,3.65,Carnegie Mellon University,USA,Private,52,47300,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
157.0,161.0,4.0,3.2,University Of Texas At Dallas,USA,Public,551,27574,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
169.0,166.0,4.0,3.74,New York University,USA,Private,38,51828,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,167.0,5.0,3.63,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
151.0,165.0,4.5,3.98,Northeastern University,USA,Private,375,53506,6.5,92,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
163.0,160.0,4.5,3.16,Tufts University,USA,Private,275,61646,6.5,100,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
160.0,167.0,4.0,3.74,Iowa State University,USA,Public,378,23392,6.0,79,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
143.0,142.0,0.0,2.9,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
162.0,160.0,0.0,3.4,North Carolina State University,USA,Public,373,28948,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
167.0,170.0,5.5,3.62,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
164.0,164.0,4.5,3.15,American University,USA,Private,600,50542,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
156.0,152.0,4.5,3.69,NCSU (North Carolina State University),USA,Public,373,28948,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
158.0,169.0,4.0,3.46,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
159.0,170.0,3.5,3.8,McGill University,Canada,Public,30,21400,6.5,90,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,154.0,3.5,3.69,"University Of Californa, Los Angeles (UCLA)",USA,Public,29,44830,7.0,87,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
155.0,158.0,4.0,3.28,"University Of California, Irvine",USA,Public,235,43709,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
170.0,170.0,0.0,4.0,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
170.0,170.0,0.0,4.0,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
159.0,162.0,4.5,3.68,Stanford University,USA,Private,3,55473,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,163.0,5.0,3.52,Princeton University,USA,Private,12,56010,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
148.0,168.0,3.5,3.44,University Of Wisconsin-Madison,USA,Public,83,38608,6.5,92,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
153.0,167.0,3.0,3.6,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
152.0,169.0,3.5,3.45,Purdue University - West Lafayette,USA,Public,99,29132,6.5,80,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,166.0,3.5,3.88,Northwestern University,USA,Private,32,58701,7.5,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,166.0,3.5,3.88,"University Of Colorado, Boulder",USA,Public,237,37344,6.5,75,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
160.0,157.0,4.0,2.0,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
152.0,162.0,4.0,3.76,Northeastern University,USA,Private,375,53506,6.5,92,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
170.0,163.0,6.0,3.84,University Of Notre Dame,USA,Private,304,57699,7.0,100,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
153.0,145.0,3.5,3.2,Clemson University,USA,Public,531,38946,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
158.0,170.0,4.0,8.48,Northeastern University,USA,Private,375,53506,6.5,92,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
163.0,163.0,5.0,3.68,Stanford University,USA,Private,3,55473,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
164.0,164.0,4.0,3.94,University Of Wisconsin-Madison,USA,Public,83,38608,6.5,92,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
162.0,160.0,5.0,3.7,Princeton University,USA,Private,12,56010,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
158.0,161.0,4.5,3.6,University Of Michigan,USA,Public,21,48698,6.5,85,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,168.0,4.0,3.17,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,158.0,4.0,3.1,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
159.0,156.0,5.0,3.76,University Of Cincinnati,USA,Public,800,26960,6.5,79,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
155.0,147.0,3.5,3.67,University Of South Carolina,USA,Public,601,34744,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
170.0,167.0,4.5,3.6,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
159.0,158.0,5.0,3.41,University Of South Florida,USA,Public,395,39422,6.5,85,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
161.0,167.0,4.0,3.3,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
159.0,156.0,5.5,3.12,University Of South Florida,USA,Public,327,54674,6.0,83,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
160.0,156.0,4.0,3.51,University Of Minnesota,USA,Public,576,48504,6.5,90,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
154.0,157.0,4.5,3.62,Emory University,USA,Public,593,49895,7.0,85,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,170.0,5.0,4.0,New York University,USA,Private,38,51828,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
165.0,170.0,5.0,4.0,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
167.0,170.0,4.5,3.72,Columbia University,USA,Private,18,61788,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
155.0,150.0,4.0,3.56,University Of Cincinnati,USA,Public,800,26960,6.5,79,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
154.0,159.0,4.0,3.12,University Of Southern California,USA,Private,112,60446,6.5,90,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
160.0,164.0,5.5,3.6,University Of Washington,USA,Public,632,47289,6.0,96,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
162.0,153.0,5.0,3.75,George Washington University,USA,Public,206,31645,7.0,96,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
170.0,169.0,6.0,4.0,University Of Toronto,Canada,Public,26,52160,7.0,93,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
152.0,165.0,3.5,3.6,Arizona State University,USA,Public,506,33472,7.0,82,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
162.0,153.0,5.0,3.75,Boston University,USA,Private,108,58560,6.5,84,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
158.0,165.0,5.0,3.63,University Of Pennsylvania,USA,Public,219,38838,6.5,82,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
169.0,161.0,4.5,3.89,University Of Washington,USA,Public,576,52711,7.0,94,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
162.0,169.0,4.5,3.95,Carnegie Mellon University,USA,Private,52,47300,7.0,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
150.0,149.0,4.0,3.7,University Of Houston,USA,Public,573,27171,7.0,81,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
151.0,170.0,3.0,3.72,UC San Diego (UCSD),USA,Public,329,37757,7.0,88,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
169.0,164.0,5.0,3.57,University Of Chicago,USA,Public,500,34703,6.0,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
151.0,161.0,4.0,4.0,Clemson University,USA,Public,531,38946,6.5,80,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
151.0,161.0,4.0,4.0,Colorado State University,USA,Public,276,33447,6.5,93,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
160.0,148.0,4.5,3.86,University Of Houston,USA,Public,540,48916,6.0,99,2,False,True,True,"Computer Science,Engineering,Business,Data Science"
166.0,152.0,5.0,4.0,Harvard University,USA,Private,5,54768,7.5,100,2,True,True,True,"Computer Science,Engineering,Business,Data Science"
