greV,greQ,greA,cgpa,univName,country,university_type,ranking,tuition_usd,ielts_min,toefl_min,duration_years,research_focused,internship_opportunities,post_study_work_visa,program_fields,academic_strength,ranking_score,affordability,research_flag,internship_flag,visa_flag
156,158,4.9,3.68,Stanford University,USA,Private,3,55542,6.2,103,2,True,True,True,"Data Science,AI",0.76,0.8072759997491488,0.03914988814317677,1,1,1
153,162,4.4,2.82,Stanford University,USA,Private,3,57584,7.2,90,2,False,False,True,"Engineering,Robotics",0.71,0.8072759997491488,0.0028940733638720406,0,0,1
150,166,4.2,2.81,Stanford University,USA,Private,3,52376,6.8,94,2,False,False,True,"Engineering,Robotics",0.7206250000000001,0.8072759997491488,0.09536238059727997,0,0,1
165,169,3.9,3.74,Stanford University,USA,Private,3,53348,6.8,109,2,True,True,True,"Data Science,AI",0.8912500000000001,0.8072759997491488,0.0781044707219204,1,1,1
156,159,3.9,2.82,Stanford University,USA,Private,3,57432,6.8,93,2,False,True,True,"Business,Management",0.6900000000000001,0.8072759997491488,0.005592841163310935,0,1,1
169,166,3.9,2.95,Stanford University,USA,Private,3,54973,6.1,98,2,True,False,True,"Business,Management",0.840625,0.8072759997491488,0.04925251233976069,1,0,1
157,158,3.6,3.42,Stanford University,USA,Private,3,55256,6.3,102,2,False,False,True,"Business,Management",0.7174999999999999,0.8072759997491488,0.044227832818436896,0,0,1
159,168,4.9,3.67,Stanford University,USA,Private,3,54045,6.9,109,2,False,False,True,"Mathematics,Statistics",0.865625,0.8072759997491488,0.06572919995738791,0,0,1
165,167,3.5,3.79,Stanford University,USA,Private,3,54212,6.4,97,2,True,True,True,"Mathematics,Statistics",0.8668750000000001,0.8072759997491488,0.06276410638826746,1,1,1
150,163,5.0,3.73,Stanford University,USA,Private,3,53342,6.0,95,2,True,True,True,"Data Science,AI",0.771875,0.8072759997491488,0.07821100102979295,1,1,1
152,155,4.2,3.91,Stanford University,USA,Private,3,55830,7.4,93,2,False,False,True,"Business,Management",0.7056250000000001,0.8072759997491488,0.034036433365292385,0,0,1
150,161,3.6,3.19,Stanford University,USA,Private,3,56262,7.0,87,2,True,True,True,"Mathematics,Statistics",0.6856249999999999,0.8072759997491488,0.026366251198465918,1,1,1
164,168,4.7,3.67,Stanford University,USA,Private,3,53547,6.4,93,2,True,True,True,"Business,Management",0.8918749999999999,0.8072759997491488,0.0745712155108128,1,1,1
159,166,3.2,2.84,Stanford University,USA,Private,3,55750,6.5,88,2,False,True,True,"Mathematics,Statistics",0.7537499999999999,0.8072759997491488,0.035456837470260294,0,1,1
164,165,3.4,3.93,Stanford University,USA,Private,3,55543,7.0,86,2,False,True,True,"Physics,Applied Sciences",0.8493749999999999,0.8072759997491488,0.039132133091864585,0,1,1
155,166,4.6,3.02,Stanford University,USA,Private,3,57159,6.8,107,2,False,True,True,"Physics,Applied Sciences",0.7749999999999999,0.8072759997491488,0.010439970171513768,0,1,1
150,155,3.5,3.31,Stanford University,USA,Private,3,56749,7.3,91,2,False,False,True,"Data Science,AI",0.638125,0.8072759997491488,0.017719541209474055,0,0,1
158,168,3.4,2.94,Stanford University,USA,Private,3,54106,7.4,106,2,False,False,True,"Computer Science,Engineering",0.7762499999999999,0.8072759997491488,0.06464614182734985,0,0,1
169,155,3.1,3.1,Stanford University,USA,Private,3,53607,7.0,87,2,True,True,True,"Computer Science,Engineering",0.73375,0.8072759997491488,0.07350591243208693,1,1,1
166,165,4.2,3.4,Stanford University,USA,Private,3,52533,6.4,85,2,True,True,True,"Physics,Applied Sciences",0.84875,0.8072759997491488,0.09257483754128049,1,1,1
