greV,greQ,greA,cgpa,univName,country,university_type,ranking,tuition_usd,ielts_min,toefl_min,duration_years,research_focused,internship_opportunities,post_study_work_visa,program_fields
156,158,4.9,3.68,Stanford University,USA,Private,3,55542,6.2,103,2,True,True,True,"Data Science,AI"
153,162,4.4,2.82,Stanford University,USA,Private,3,57584,7.2,90,2,False,False,True,"Engineering,Robotics"
150,166,4.2,2.81,Stanford University,USA,Private,3,52376,6.8,94,2,False,False,True,"Engineering,Robotics"
165,169,3.9,3.74,Stanford University,USA,Private,3,53348,6.8,109,2,True,True,True,"Data Science,AI"
156,159,3.9,2.82,Stanford University,USA,Private,3,57432,6.8,93,2,False,True,True,"Business,Management"
169,166,3.9,2.95,Stanford University,USA,Private,3,54973,6.1,98,2,True,False,True,"Business,Management"
157,158,3.6,3.42,Stanford University,USA,Private,3,55256,6.3,102,2,False,False,True,"Business,Management"
159,168,4.9,3.67,Stanford University,USA,Private,3,54045,6.9,109,2,False,False,True,"Mathematics,Statistics"
165,167,3.5,3.79,Stanford University,USA,Private,3,54212,6.4,97,2,True,True,True,"Mathematics,Statistics"
150,163,5.0,3.73,Stanford University,USA,Private,3,53342,6.0,95,2,True,True,True,"Data Science,AI"
152,155,4.2,3.91,Stanford University,USA,Private,3,55830,7.4,93,2,False,False,True,"Business,Management"
150,161,3.6,3.19,Stanford University,USA,Private,3,56262,7.0,87,2,True,True,True,"Mathematics,Statistics"
164,168,4.7,3.67,Stanford University,USA,Private,3,53547,6.4,93,2,True,True,True,"Business,Management"
159,166,3.2,2.84,Stanford University,USA,Private,3,55750,6.5,88,2,False,True,True,"Mathematics,Statistics"
164,165,3.4,3.93,Stanford University,USA,Private,3,55543,7.0,86,2,False,True,True,"Physics,Applied Sciences"
155,166,4.6,3.02,Stanford University,USA,Private,3,57159,6.8,107,2,False,True,True,"Physics,Applied Sciences"
150,155,3.5,3.31,Stanford University,USA,Private,3,56749,7.3,91,2,False,False,True,"Data Science,AI"
158,168,3.4,2.94,Stanford University,USA,Private,3,54106,7.4,106,2,False,False,True,"Computer Science,Engineering"
169,155,3.1,3.1,Stanford University,USA,Private,3,53607,7.0,87,2,True,True,True,"Computer Science,Engineering"
166,165,4.2,3.4,Stanford University,USA,Private,3,52533,6.4,85,2,True,True,True,"Physics,Applied Sciences"
151,159,4.0,3.98,Stanford University,USA,Private,3,53581,7.0,95,2,False,True,True,"Computer Science,Engineering"
155,162,3.9,3.98,Stanford University,USA,Private,3,54443,7.2,100,2,True,True,True,"Engineering,Robotics"
155,167,4.7,3.19,Stanford University,USA,Private,3,53461,7.1,103,2,False,False,True,"Engineering,Robotics"
158,155,3.8,3.42,Stanford University,USA,Private,3,56857,7.0,109,2,True,False,True,"Physics,Applied Sciences"
159,157,3.5,3.01,Stanford University,USA,Private,3,57651,6.8,101,2,False,True,True,"Physics,Applied Sciences"
161,159,4.8,3.56,Stanford University,USA,Private,3,54114,6.5,100,2,False,True,True,"Engineering,Robotics"
150,162,4.7,3.92,Stanford University,USA,Private,3,56569,7.0,87,2,False,False,True,"Computer Science,Engineering"
152,163,3.0,2.99,Stanford University,USA,Private,3,55268,7.0,100,2,True,True,True,"Engineering,Robotics"
150,158,3.5,3.19,Stanford University,USA,Private,3,56355,7.0,91,2,True,True,True,"Computer Science,Engineering"
165,166,4.0,3.56,Stanford University,USA,Private,3,53627,6.9,90,2,True,True,True,"Physics,Applied Sciences"
157,165,3.9,3.22,Stanford University,USA,Private,3,55798,7.0,85,2,True,False,True,"Mathematics,Statistics"
165,157,4.1,3.72,Stanford University,USA,Private,3,52489,7.5,98,2,True,False,True,"Data Science,AI"
158,159,4.9,3.31,Stanford University,USA,Private,3,57566,7.4,85,2,False,True,True,"Mathematics,Statistics"
150,157,3.3,3.47,Stanford University,USA,Private,3,57398,7.0,92,2,False,False,True,"Business,Management"
164,160,3.7,3.1,Stanford University,USA,Private,3,53874,6.5,92,2,True,True,True,"Data Science,AI"
165,161,3.6,3.77,Stanford University,USA,Private,3,56705,7.3,97,2,False,False,True,"Computer Science,Engineering"
153,167,3.4,2.89,Stanford University,USA,Private,3,54432,6.1,103,2,True,True,True,"Engineering,Robotics"
151,156,3.9,3.61,Stanford University,USA,Private,3,54054,6.2,106,2,False,False,True,"Physics,Applied Sciences"
